Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
spechteln,spechtle,spechtelst,spechtelt,spechtelte,gespechtelt,spechtelte,spechtle,spechtelt,haben
spedieren,spediere,spedierst,spediert,spedierte,spediert,spedierte,spedier,spediert,haben
speiben,speibe,speibst,speibt,spieb,gespieben,spiebe,speibe,speibt,haben
speicheln,speichel,speichelst,speichelt,speichelte,gespeichelt,speichelte,speichel,speichelt,haben
speichern,speichere,speicherst,speichert,speicherte,gespeichert,speicherte,speichere,speichert,haben
speien,speie,speist,speit,spie,gespien,spie,speie,speit,haben
speisen,speise,speist,speist,speiste,gespeist,speiste,speise,speiset,haben
spekulieren,spekuliere,spekulierst,spekuliert,spekulierte,spekuliert,spekulierte,spekulier,spekuliert,haben
spenden,spende,spendest,spendet,spendete,gespendet,spendete,spende,spendet,haben
spendieren,spendiere,spendierst,spendiert,spendierte,spendiert,spendierte,spendiere,spendiert,haben
spengeln,spengle,spengelst,spengelt,spengelte,gespengelt,spengelte,spengle,spengelt,haben
sperbern,sperbere,sperberst,sperbert,sperberte,gesperbert,sperberte,sperber,sperbert,haben
sperren,sperre,sperrst,sperrt,sperrte,gesperrt,sperrte,sperre,sperrt,haben
